PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   78.1  17816  -64.3  -88.3      2   0.00    257     30  432.7  432.8  432.7
   76.2  17966  -64.9  -88.9      2   0.00    260     29  434.5  434.6  434.5
   76.0  17983  -64.6  -88.8      2   0.00    260     29  435.4  435.5  435.4
   73.2  18213  -60.9  -86.9      2   0.00    249     15  448.0  448.0  448.0
   72.3  18288  -61.4  -87.4      2   0.00    245     11  448.4  448.4  448.4
   70.0  18490  -62.9  -88.9      2   0.00    250     12  449.5  449.5  449.5
   64.4  19001  -64.9  -90.9      2   0.00    232     12  455.9  455.9  455.9
   61.7  19264  -63.3  -90.3      1   0.00    223     12  465.1  465.1  465.1
   59.3  19507  -64.4  -90.5      2   0.00    215     12  468.0  468.0  468.0
   59.0  19538  -64.5  -90.5      2   0.00    214     11  468.4  468.4  468.4
   55.7  19893  -61.7  -89.7      1   0.00    199      5  482.5  482.6  482.5
   53.7  20117  -62.1  -90.1      1   0.00    190      1  486.6  486.7  486.6
   50.0  20560  -62.9  -90.9      1   0.00    315      4  494.8  494.9  494.8
   47.2  20914  -63.9  -91.9      1   0.00      3      4  500.7  500.7  500.7
   44.1  21336  -61.5  -90.2      1   0.00     60      4  516.4  516.4  516.4
   43.1  21475  -60.7  -89.7      1   0.00     62      5  521.7  521.7  521.7
   36.2  22555  -61.9  -90.9      1   0.00     75     15  545.2  545.3  545.2
   34.5  22860  -62.2  -91.2      1   0.00    100     24  552.1  552.1  552.1
   32.2  23281  -62.7  -91.7      1   0.00    105     23  561.7  561.7  561.7
   31.6  23397  -61.1  -91.1      1   0.00    106     22  569.0  569.0  569.0
   30.0  23720  -61.1  -91.1      1   0.00    110     21  577.5  577.5  577.5
   29.2  23887  -61.7  -90.7      1   0.00    110     20  580.3  580.4  580.3
   28.3  24079  -60.0  -90.1      1   0.00    110     18  590.3  590.3  590.3
