   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
  127.4  15240  -70.0  -83.8     12   0.00    240      3  366.0  366.1  366.0
  123.0  15451  -71.7  -84.7     13   0.00    224      4  366.6  366.6  366.6
  122.0  15499  -70.9  -83.9     13   0.00    220      4  368.9  368.9  368.9
  115.0  15849  -70.7  -83.7     13   0.00    193      5  375.6  375.6  375.6
  106.0  16328  -73.9  -86.9     12   0.00    155      7  378.3  378.4  378.3
  102.0  16554  -72.3  -85.3     13   0.00    188     10  385.6  385.6  385.6
  100.0  16670  -72.3  -86.3     11   0.00    205     12  387.8  387.8  387.8
   93.5  17069  -69.5  -87.0      6   0.00    105      3  400.9  400.9  400.9
   92.6  17124  -69.1  -87.1      6   0.00     99      5  402.7  402.7  402.7
   88.8  17374  -70.3  -90.0      4   0.00     70     14  405.2  405.2  405.2
   88.2  17413  -70.5  -90.5      4   0.00     75     15  405.6  405.6  405.6
   87.3  17474  -68.5  -89.5      4   0.00     82     16  410.8  410.8  410.8
   84.4  17678  -67.8  -90.4      3   0.00    105     20  416.3  416.3  416.3
   80.5  17961  -66.7  -91.7      2   0.00     96     22  424.1  424.1  424.1
   80.2  17983  -66.8  -91.9      2   0.00     95     22  424.4  424.4  424.4
   76.2  18288  -67.9  -94.6      1   0.00    115     20  428.3  428.3  428.3
   73.3  18523  -68.7  -96.7      1   0.00    115     15  431.4  431.4  431.4
   72.5  18593  -67.7  -96.2      1   0.00    115     14  434.9  434.9  434.9
   71.6  18664  -66.7  -95.7      1   0.00    103     15  438.5  438.5  438.5
   70.0  18800  -66.5  -95.5      1   0.00     80     17  441.8  441.8  441.8
   68.9  18898  -66.0  -95.3      1   0.00     75     16  444.9  444.9  444.9
   66.6  19103  -64.9  -94.9      1   0.00     72      9  451.6  451.6  451.6
   65.5  19202  -65.0  -94.8      1   0.00     70      6  453.4  453.4  453.4
   62.3  19507  -65.4  -94.6      1   0.00     65     11  459.2  459.2  459.2
   61.3  19608  -65.5  -94.5      1   0.00     74     12  461.1  461.1  461.1
   59.7  19770  -63.7  -93.7      1   0.00     89     12  468.6  468.6  468.6
   56.4  20117  -63.6  -93.6      1   0.00    120     14  476.5  476.5  476.5
   50.6  20787  -63.3  -93.3      1   0.00     88     23  492.2  492.2  492.2
   50.0  20860  -62.9  -92.9      1   0.00     85     24  494.8  494.8  494.8
   49.4  20935  -61.1  -92.1      1   0.00     81     24  500.8  500.8  500.8
