 12Z 02 03 2017 , 0.00, 5.87
 00Z 03 03 2017 , 0.00, 4.86
 12Z 03 03 2017 , 0.00, 5.00
 00Z 04 03 2017 , 0.00, 12.01
 12Z 04 03 2017 , 0.00, 13.17
 00Z 05 03 2017 , 0.00, 11.36
 12Z 05 03 2017 , 0.00, 13.60
 00Z 06 03 2017 , 198.07, 19.31
 12Z 06 03 2017 , 0.00, 8.52
 00Z 07 03 2017 , 0.00, 7.73
 12Z 07 03 2017 , 0.00, 6.77
 00Z 08 03 2017 , 0.00, 7.06
 12Z 08 03 2017 , 0.00, 8.93
 00Z 09 03 2017 , 0.00, 8.57
 12Z 09 03 2017 , 0.00, 8.11
 00Z 10 03 2017 , 0.00, 7.02
 12Z 10 03 2017 , 0.00, 8.73
 00Z 11 03 2017 , 0.00, 9.48
 12Z 11 03 2017 , 0.00, 11.82
 00Z 12 03 2017 , 0.00, 9.42
 12Z 12 03 2017 , 0.00, 6.78
 00Z 13 03 2017 , 0.00, 6.27
 12Z 13 03 2017 , 0.00, 10.04
 00Z 14 03 2017 , 0.00, 10.30
 12Z 14 03 2017 , 0.00, 9.13
 00Z 15 03 2017 , 0.00, 7.19
 12Z 15 03 2017 , 0.00, 7.06
 00Z 16 03 2017 , 0.00, 8.25
 12Z 16 03 2017 , 0.00, 13.26
 00Z 17 03 2017 , 0.00, 11.52
 12Z 17 03 2017 , 0.00, 11.35
 00Z 18 03 2017 , 0.00, 8.81
 12Z 18 03 2017 , 0.00, 11.34
 00Z 19 03 2017 , 0.00, 10.51
 12Z 19 03 2017 , 0.00, 11.09
 00Z 20 03 2017 , 0.00, 13.26
 12Z 20 03 2017 , 0.00, 13.55
 12Z 21 03 2017 , 0.00, 14.30
 12Z 22 03 2017 , 0.00, 10.92
 00Z 23 03 2017 , 0.00, 11.73
 12Z 23 03 2017 , 76.84, 14.25
 00Z 24 03 2017 , 30.41, 8.11
 12Z 24 03 2017 , 0.00, 8.61
 00Z 25 03 2017 , 0.00, 6.96
 12Z 25 03 2017 , 0.00, 5.67
 00Z 26 03 2017 , 0.00, 10.04
 12Z 26 03 2017 , 0.00, 10.83
 00Z 27 03 2017 , 0.00, 10.02
 12Z 27 03 2017 , 0.00, 14.89
 00Z 28 03 2017 , 0.00, 11.91
 12Z 28 03 2017 , 21.14, 15.62
 00Z 29 03 2017 , 0.00, 9.85
 12Z 29 03 2017 , 0.00, 9.56
 00Z 30 03 2017 , 0.00, 7.78
 12Z 30 03 2017 , 0.00, 9.95
 00Z 31 03 2017 , 0.00, 7.79
 12Z 31 03 2017 , 0.00, 11.76
 00Z 01 04  2017 , 0.00, 8.39
 12Z 01 04 2017 , 0.00, 10.43
 00Z 02 04 2017 , 0.00, 13.54
 12Z 02 04 2017 , 0.00, 8.80
 00Z 03 04 2017 , 0.00, 9.73
 12Z 03 04 2017 , 0.00, 10.51
 00Z 04 04 2017 , 0.00, 12.00
 12Z 04 04 2017 , 0.00, 11.80
 00Z 05 04 2017 , 0.00, 7.79
 12Z 05 04 2017 , 0.00, 8.64
 00Z 06 04 2017 , 0.00, 9.34
 12Z 06 04 2017 , 0.00, 9.31
 00Z 07 04 2017 , 0.00, 8.78
 12Z 07 04 2017 , 0.00, 9.30
 00Z 08 04 2017 , 0.00, 8.76
 12Z 08 04 2017 , 0.00, 8.54
 00Z 09 04 2017 , 0.00, 8.53
 12Z 09 04 2017 , 0.00, 12.23
 00Z 10 04 2017 , 0.00, 6.93
 12Z 10 04 2017 , 0.00, 5.82
 00Z 11 04 2017 , 0.00, 7.00
 12Z 11 04 2017 , 0.00, 5.03
 00Z 12 04 2017 , 0.00, 5.32
 12Z 12 04 2017 , 0.00, 7.38
 00Z 13 04 2017 , 0.00, 6.13
 12Z 13 04 2017 , 0.00, 7.13
 00Z 14 04 2017 , 0.00, 7.31
 12Z 14 04 2017 , 0.00, 8.09
 00Z 15 04 2017 , 0.00, 6.01
 12Z 15 04 2017 , 0.00, 7.23
 00Z 16 04 2017 , 0.00, 6.68
 12Z 16 04 2017 , 0.00, 6.60
 00Z 17 04 2017 , 0.00, 6.76
 12Z 17 04 2017 , 0.00, 8.42
 00Z 18 04 2017 , 0.00, 9.68
 12Z 18 04 2017 , 0.00, 9.48
 00Z 19 04 2017 , 0.00, 10.95
 12Z 19 04 2017 , 0.00, 11.14
 00Z 20 04 2017 , 0.00, 9.83
 12Z 20 04 2017 , 0.00, 7.31
 00Z 21 04 2017 , 0.00, 5.16
 12Z 21 04 2017 , 0.00, 4.55
 00Z 22 04 2017 , 0.00, 4.69
 12Z 22 04 2017 , 0.00, 7.05
 00Z 23 04 2017 , 0.00, 5.74
 12Z 23 04 2017 , 0.00, 6.60
 00Z 24 04 2017 , 0.00, 7.86
 12Z 24 04 2017 , 0.00, 7.06
 00Z 25 04 2017 , 0.00, 10.38
 12Z 25 04 2017 , 0.00, 16.42
 00Z 26 04 2017 , 0.00, 16.73
 12Z 26 04 2017 , 0.00, 9.30
 00Z 27 04 2017 , 0.00, 12.84
 12Z 27 04 2017 , 0.00, 16.01
 00Z 28 04 2017 , 0.00, 14.55
 12Z 28 04 2017 , 0.00, 18.12
 00Z 29 04 2017 , 124.98, 20.41
 12Z 29 04 2017 , 0.00, 5.24
 00Z 30 04 2017 , 0.00, 5.04
 12Z 30 04 2017 , 0.00, 7.27
 00Z 01 05  2017 , 0.00, 6.60
 12Z 01 05 2017 , 0.00, 6.55
 00Z 02 05 2017 , 0.00, 5.82
 12Z 02 05 2017 , 0.00, 7.83
 00Z 03 05 2017 , 0.00, 8.30
 12Z 03 05 2017 , 0.00, 12.05
 00Z 04 05 2017 , 0.00, 11.49
 12Z 04 05 2017 , 0.00, 11.68
 00Z 05 05 2017 , 0.00, 10.91
 12Z 05 05 2017 , 0.00, 11.28
 00Z 06 05 2017 , 30.07, 17.42
 12Z 06 05 2017 , 0.00, 15.17
 00Z 07 05 2017 , 0.00, 11.37
 12Z 07 05 2017 , 0.00, 13.85
 00Z 08 05 2017 , 0.01, 18.45
 12Z 08 05 2017 , 0.00, 13.85
 00Z 09 05 2017 , 89.33, 17.30
 12Z 09 05 2017 , 188.05, 14.61
 00Z 10 05 2017 , 38.89, 17.53
 12Z 10 05 2017 , 0.00, 16.23
 00Z 11 05 2017 , 0.00, 15.22
 12Z 11 05 2017 , 0.00, 15.51
 00Z 12 05 2017 , 0.00, 16.07
 12Z 12 05 2017 , 0.00, 15.99
 00Z 13 05 2017 , 0.00, 11.63
 12Z 13 05 2017 , 0.00, 11.62
 00Z 14 05 2017 , 0.00, 10.33
 12Z 14 05 2017 , 0.00, 9.23
 00Z 15 05 2017 , 0.00, 10.17
 12Z 15 05 2017 , 0.00, 7.27
 00Z 16 05 2017 , 0.00, 9.01
 12Z 16 05 2017 , 0.00, 15.12
 00Z 17 05 2017 , 24.84, 10.98
 12Z 17 05 2017 , 0.00, 11.77
 00Z 18 05 2017 , 0.00, 13.56
 12Z 18 05 2017 , 0.00, 13.94
 00Z 19 05 2017 , 0.00, 14.50
 12Z 19 05 2017 , 0.00, 6.86
 00Z 20 05 2017 , 0.00, 5.85
 12Z 20 05 2017 , 0.00, 6.96
 00Z 21 05 2017 , 0.00, 5.60
 12Z 21 05 2017 , 0.00, 8.58
 00Z 22 05 2017 , 0.00, 8.32
 12Z 22 05 2017 , 0.00, 9.78
 00Z 23 05 2017 , 0.00, 9.18
 12Z 23 05 2017 , 0.00, 12.34
 00Z 24 05 2017 , 0.00, 9.17
 12Z 24 05 2017 , 0.00, 9.49
 00Z 25 05 2017 , 0.00, 10.91
 12Z 25 05 2017 , 0.00, 10.42
 00Z 26 05 2017 , 0.00, 8.49
 12Z 26 05 2017 , 0.00, 11.45
 00Z 27 05 2017 , 0.00, 7.59
 12Z 27 05 2017 , 0.00, 6.40
 00Z 28 05 2017 , 0.00, 6.58
 12Z 28 05 2017 , 0.00, 6.67
 00Z 29 05 2017 , 0.00, 5.75
 12Z 29 05 2017 , 0.00, 8.12
 00Z 30 05 2017 , 0.00, 8.20
 12Z 30 05 2017 , 0.00, 15.18
 00Z 31 05 2017 , 0.00, 15.68
 12Z 31 05 2017 , 0.00, 18.22
 00Z 01 06  2017 , 15.98, 16.06
 12Z 01 06 2017 , 0.00, 14.39
 00Z 02 06 2017 , 0.00, 14.07
 12Z 02 06 2017 , 0.00, 14.17
 00Z 03 06 2017 , 0.00, 14.63
 12Z 03 06 2017 , 0.00, 19.13
 00Z 04 06 2017 , 0.00, 17.58
 12Z 04 06 2017 , 0.00, 19.60
 00Z 05 06 2017 , 0.00, 17.72
 12Z 05 06 2017 , 0.00, 18.98
 00Z 06 06 2017 , 0.00, 17.68
 12Z 06 06 2017 , 0.00, 21.79
 00Z 07 06 2017 , 7.45, 20.27
 12Z 07 06 2017 , 0.00, 23.12
 00Z 08 06 2017 , 167.53, 25.03
 12Z 08 06 2017 , 1.53, 23.84
 00Z 09 06 2017 , 0.00, 15.36
 12Z 09 06 2017 , 0.00, 17.78
 00Z 10 06 2017 , 0.00, 17.51
 12Z 10 06 2017 , 0.00, 11.72
 00Z 11 06 2017 , 0.00, 6.67
 12Z 11 06 2017 , 0.00, 5.18
 00Z 12 06 2017 , 0.00, 9.96
 12Z 12 06 2017 , 0.00, 8.63
 00Z 13 06 2017 , 0.00, 10.56
 12Z 13 06 2017 , 0.00, 6.56
 00Z 14 06 2017 , 0.00, 4.78
 12Z 14 06 2017 , 0.00, 4.45
 00Z 15 06 2017 , 0.00, 3.58
 12Z 15 06 2017 , 0.00, 4.23
 00Z 16 06 2017 , 0.00, 4.23
 12Z 16 06 2017 , 0.00, 6.29
 00Z 17 06 2017 , 0.00, 5.21
 12Z 17 06 2017 , 0.00, 6.99
 00Z 18 06 2017 , 0.00, 6.87
 12Z 18 06 2017 , 0.00, 10.76
 00Z 19 06 2017 , 0.00, 10.29
 12Z 19 06 2017 , 0.00, 13.93
 00Z 20 06 2017 , 0.00, 15.78
 12Z 20 06 2017 , 0.00, 25.65
 00Z 21 06 2017 , 42.67, 23.85
 12Z 21 06 2017 , 0.00, 25.58
 00Z 22 06 2017 , 65.21, 24.82
 12Z 22 06 2017 , 144.06, 28.29
 00Z 23 06 2017 , 32.47, 23.54
 12Z 23 06 2017 , 862.15, 29.38
 00Z 24 06 2017 , 0.00, 16.86
 12Z 24 06 2017 , 0.00, 22.45
 00Z 25 06 2017 , 0.00, 20.52
 12Z 25 06 2017 , 394.65, 28.37
 00Z 26 06 2017 , 55.78, 25.00
 12Z 26 06 2017 , 126.00, 29.85
 00Z 27 06 2017 , 55.68, 24.84
 12Z 27 06 2017 , 223.76, 23.19
 00Z 28 06 2017 , 0.00, 15.57
 12Z 28 06 2017 , 0.00, 15.77
 00Z 29 06 2017 , 0.00, 18.00
 12Z 29 06 2017 , 0.00, 11.65
 00Z 30 06 2017 , 0.00, 17.70
 12Z 30 06 2017 , 0.00, 6.51
 00Z 01 07  2017 , 0.00, 8.40
 12Z 01 07 2017 , 0.00, 12.41
 00Z 02 07 2017 , 0.00, 15.89
 12Z 02 07 2017 , 0.00, 21.28
 00Z 03 07 2017 , 1.42, 25.15
 12Z 03 07 2017 , 97.62, 29.80
 00Z 04 07 2017 , 479.10, 29.64
 12Z 04 07 2017 , 235.12, 30.05
 00Z 05 07 2017 , 6.18, 25.25
 12Z 05 07 2017 , 208.70, 29.78
 00Z 06 07 2017 , 81.85, 22.22
