 01 01 2017, 81.28, 17.75
 02 01 2017, 10.91, 12.81
 03 01 2017, 0.00, 11.86
 04 01 2017 , 0.00, 15.48
 05 01 2017 , 0.00, 10.36
 06 01 2017 , 0.00, 15.42
 07 01 2017 , 0.00, 7.97
 08 01 2017 , 0.00, 12.83
 09 01 2017 , 0.00, 16.59
 10 01 2017 , 0.00, 14.74
 11 01 2017 , 0.00, 8.50
 12 01 2017 , 0.00, 8.36
 13 01 2017 , 0.00, 6.48
 14 01 2017 , 0.00, 12.37
 15 01 2017 , 395.63, 19.69
 16 01 2017 , 74.03, 15.92
 17 01 2017 , 24.98, 13.99
 18 01 2017 , 31.69, 13.10
 19 01 2017 , 0.00, 11.52
 20 01 2017 , 0.00, 12.58
 21 01 2017 , 17.03, 19.01
 22 01 2017 , 19.87, 9.03
 23 01 2017 , 0.00, 14.47
 24 01 2017 , 2.10, 12.56
 25 01 2017 , 78.02, 10.08
 26 01 2017 , 0.00, 5.11
 27 01 2017 , 0.00, 6.30
 28 01 2017 , 0.00, 5.86
 29 01 2017 , 0.00, 3.61
 30 01 2017 , 0.00, 4.19
 31 01 2017 , 0.00, 3.62
 01 02 2017 , 0.00, 5.01
 02 02 2017 , 0.00, 4.54
 03 02 2017 , 0.00, 6.74
 04 02 2017 , 0.00, 6.92
 05 02 2017 , 0.00, 3.99
 06 02 2017 , 0.00, 7.23
 07 02 2017 , 0.00, 11.02
 08 02 2017 , 0.00, 17.28
 09 02 2017 , 0.00, 17.29
 10 02 2017 , 0.00, 11.53
 11 02 2017 , 0.00, 12.81
 12 02 2017 , 0.00, 15.55
 13 02 2017 , 492.97, 18.42
 14 02 2017 , 1.46, 15.30
 15 02 2017 , 20.31, 14.51
 16 02 2017 , 0.00, 8.71
 17 02 2017 , 0.00, 5.32
 18 02 2017 , 0.00, 16.19
 19 02 2017 , 0.00, 18.20
 20 02 2017 , 51.81, 15.74
 21 02 2017 , 0.00, 17.35
 22 02 2017 , 1.25, 12.68
 23 02 2017 , 4.75, 15.78
 24 02 2017 , 0.00, 3.29
 25 02 2017 , 0.00, 4.74
 26 02 2017 , 0.00, 5.36
 27 02 2017 , 0.00, 8.39
 28 02 2017 , 39.99, 18.68
 01 03  2017 , 36.47, 11.56
 02 03 2017 , 0.00, 6.78
 03 03 2017 , 0.00, 4.86
 04 03 2017 , 0.00, 12.01
 05 03 2017 , 0.00, 11.36
 06 03 2017 , 198.07, 19.31
 07 03 2017 , 0.00, 7.73
 08 03 2017 , 0.00, 7.06
 09 03 2017 , 0.00, 8.57
 10 03 2017 , 0.00, 7.02
 11 03 2017 , 0.00, 9.48
 12 03 2017 , 0.00, 9.42
 13 03 2017 , 0.00, 6.27
 14 03 2017 , 0.00, 10.30
 15 03 2017 , 0.00, 7.19
 16 03 2017 , 0.00, 8.25
 17 03 2017 , 0.00, 11.52
 18 03 2017 , 0.00, 8.81
 19 03 2017 , 0.00, 10.51
 20 03 2017 , 0.00, 13.26
 23 03 2017 , 0.00, 11.73
 24 03 2017 , 30.41, 8.11
 25 03 2017 , 0.00, 6.96
 26 03 2017 , 0.00, 10.04
 27 03 2017 , 0.00, 10.02
 28 03 2017 , 0.00, 11.91
 29 03 2017 , 0.00, 9.85
 30 03 2017 , 0.00, 7.78
 31 03 2017 , 0.00, 7.79
 01 04  2017 , 0.00, 8.39
 02 04 2017 , 0.00, 13.54
 03 04 2017 , 0.00, 9.73
 04 04 2017 , 0.00, 12.00
 05 04 2017 , 0.00, 7.79
 06 04 2017 , 0.00, 9.34
 07 04 2017 , 0.00, 8.78
 08 04 2017 , 0.00, 8.76
 09 04 2017 , 0.00, 8.53
 10 04 2017 , 0.00, 6.93
 11 04 2017 , 0.00, 7.00
 12 04 2017 , 0.00, 5.32
 13 04 2017 , 0.00, 6.13
 14 04 2017 , 0.00, 7.31
 15 04 2017 , 0.00, 6.01
 16 04 2017 , 0.00, 6.68
 17 04 2017 , 0.00, 6.76
 18 04 2017 , 0.00, 9.68
 19 04 2017 , 0.00, 10.95
 20 04 2017 , 0.00, 9.83
 21 04 2017 , 0.00, 5.16
 22 04 2017 , 0.00, 4.69
 23 04 2017 , 0.00, 5.74
 24 04 2017 , 0.00, 7.86
 25 04 2017 , 0.00, 10.38
 26 04 2017 , 0.00, 16.73
 27 04 2017 , 0.00, 12.84
 28 04 2017 , 0.00, 14.55
 29 04 2017 , 124.98, 20.41
 30 04 2017 , 0.00, 5.04
 01 05  2017 , 0.00, 6.60
